Client Algo.,Num. Client,Local Epoch,Test Score,Round
CQL-FL,4,2,0.0,1
CQL-FL,4,2,0.0,2
CQL-FL,4,2,0.0,3
CQL-FL,4,2,0.0,4
CQL-FL,4,2,0.0,5
CQL-FL,4,2,0.0,6
CQL-FL,4,2,0.0,7
CQL-FL,4,2,0.0,8
CQL-FL,4,2,0.0,9
CQL-FL,4,2,87.0,10
CQL-FL,4,2,0.0,11
CQL-FL,4,2,33.0,12
CQL-FL,4,2,0.0,13
CQL-FL,4,2,100.0,14
CQL-FL,4,2,13.0,15
CQL-FL,4,2,100.0,16
CQL-FL,4,2,100.0,17
CQL-FL,4,2,100.0,18
CQL-FL,4,2,100.0,19
CQL-FL,4,2,100.0,20
CQL-FL,4,2,100.0,21
CQL-FL,4,2,100.0,22
CQL-FL,4,2,100.0,23
CQL-FL,4,2,100.0,24
CQL-FL,4,2,100.0,25
CQL-FL,4,2,100.0,26
CQL-FL,4,2,100.0,27
CQL-FL,4,2,100.0,28
CQL-FL,4,2,100.0,29
CQL-FL,4,2,100.0,30
CQL-FL,4,2,100.0,31
CQL-FL,4,2,100.0,32
CQL-FL,4,2,100.0,33
CQL-FL,4,2,100.0,34
CQL-FL,4,2,100.0,35
CQL-FL,4,2,100.0,36
CQL-FL,4,2,100.0,37
CQL-FL,4,2,100.0,38
CQL-FL,4,2,100.0,39
CQL-FL,4,2,100.0,40
CQL-FL,4,2,100.0,41
CQL-FL,4,2,100.0,42
CQL-FL,4,2,100.0,43
CQL-FL,4,2,100.0,44
CQL-FL,4,2,100.0,45
CQL-FL,4,2,100.0,46
CQL-FL,4,2,100.0,47
CQL-FL,4,2,100.0,48
CQL-FL,4,2,100.0,49
CQL-FL,4,2,100.0,50
CQL-FL,4,2,100.0,51
CQL-FL,4,2,100.0,52
CQL-FL,4,2,100.0,53
CQL-FL,4,2,100.0,54
CQL-FL,4,2,100.0,55
CQL-FL,4,2,100.0,56
CQL-FL,4,2,100.0,57
CQL-FL,4,2,100.0,58
CQL-FL,4,2,100.0,59
CQL-FL,4,2,100.0,60
CQL-FL,4,2,100.0,61
CQL-FL,4,2,100.0,62
CQL-FL,4,2,100.0,63
CQL-FL,4,2,100.0,64
CQL-FL,4,2,100.0,65
CQL-FL,4,2,100.0,66
CQL-FL,4,2,100.0,67
CQL-FL,4,2,100.0,68
CQL-FL,4,2,100.0,69
CQL-FL,4,2,100.0,70
CQL-FL,4,2,100.0,71
CQL-FL,4,2,100.0,72
CQL-FL,4,2,100.0,73
CQL-FL,4,2,100.0,74
CQL-FL,4,2,100.0,75
CQL-FL,4,2,100.0,76
CQL-FL,4,2,100.0,77
CQL-FL,4,2,100.0,78
CQL-FL,4,2,100.0,79
CQL-FL,4,2,100.0,80
CQL-FL,4,2,100.0,81
CQL-FL,4,2,100.0,82
CQL-FL,4,2,100.0,83
CQL-FL,4,2,100.0,84
CQL-FL,4,2,100.0,85
CQL-FL,4,2,100.0,86
CQL-FL,4,2,100.0,87
CQL-FL,4,2,100.0,88
CQL-FL,4,2,100.0,89
CQL-FL,4,2,100.0,90
CQL-FL,4,2,100.0,91
CQL-FL,4,2,100.0,92
CQL-FL,4,2,100.0,93
CQL-FL,4,2,100.0,94
CQL-FL,4,2,100.0,95
CQL-FL,4,2,100.0,96
CQL-FL,4,2,100.0,97
CQL-FL,4,2,100.0,98
CQL-FL,4,2,100.0,99
CQL-FL,4,2,100.0,100
CQL-FL,4,2,100.0,101
CQL-FL,4,2,100.0,102
CQL-FL,4,2,100.0,103
CQL-FL,4,2,100.0,104
CQL-FL,4,2,100.0,105
CQL-FL,4,2,100.0,106
CQL-FL,4,2,100.0,107
CQL-FL,4,2,100.0,108
CQL-FL,4,2,100.0,109
CQL-FL,4,2,100.0,110
CQL-FL,4,2,100.0,111
CQL-FL,4,2,100.0,112
CQL-FL,4,2,100.0,113
CQL-FL,4,2,100.0,114
CQL-FL,4,2,100.0,115
CQL-FL,4,2,100.0,116
CQL-FL,4,2,100.0,117
CQL-FL,4,2,100.0,118
CQL-FL,4,2,100.0,119
CQL-FL,4,2,100.0,120
CQL-FL,4,2,100.0,121
CQL-FL,4,2,100.0,122
CQL-FL,4,2,100.0,123
CQL-FL,4,2,100.0,124
CQL-FL,4,2,100.0,125
CQL-FL,4,2,100.0,126
CQL-FL,4,2,100.0,127
CQL-FL,4,2,100.0,128
CQL-FL,4,2,100.0,129
CQL-FL,4,2,100.0,130
CQL-FL,4,2,100.0,131
CQL-FL,4,2,100.0,132
CQL-FL,4,2,100.0,133
CQL-FL,4,2,100.0,134
CQL-FL,4,2,100.0,135
CQL-FL,4,2,100.0,136
CQL-FL,4,2,100.0,137
CQL-FL,4,2,100.0,138
CQL-FL,4,2,100.0,139
CQL-FL,4,2,100.0,140
CQL-FL,4,2,100.0,141
CQL-FL,4,2,100.0,142
CQL-FL,4,2,100.0,143
CQL-FL,4,2,100.0,144
CQL-FL,4,2,100.0,145
CQL-FL,4,2,100.0,146
CQL-FL,4,2,100.0,147
CQL-FL,4,2,100.0,148
CQL-FL,4,2,100.0,149
CQL-FL,4,2,100.0,150
CQL-FL,4,2,100.0,151
CQL-FL,4,2,100.0,152
CQL-FL,4,2,100.0,153
CQL-FL,4,2,100.0,154
CQL-FL,4,2,100.0,155
CQL-FL,4,2,100.0,156
CQL-FL,4,2,100.0,157
CQL-FL,4,2,100.0,158
CQL-FL,4,2,100.0,159
CQL-FL,4,2,100.0,160
CQL-FL,4,2,100.0,161
CQL-FL,4,2,100.0,162
CQL-FL,4,2,100.0,163
CQL-FL,4,2,100.0,164
CQL-FL,4,2,100.0,165
CQL-FL,4,2,100.0,166
CQL-FL,4,2,100.0,167
CQL-FL,4,2,100.0,168
CQL-FL,4,2,100.0,169
CQL-FL,4,2,100.0,170
CQL-FL,4,2,100.0,171
CQL-FL,4,2,100.0,172
CQL-FL,4,2,100.0,173
CQL-FL,4,2,100.0,174
CQL-FL,4,2,100.0,175
CQL-FL,4,2,100.0,176
CQL-FL,4,2,100.0,177
CQL-FL,4,2,100.0,178
CQL-FL,4,2,100.0,179
CQL-FL,4,2,100.0,180
CQL-FL,4,2,100.0,181
CQL-FL,4,2,100.0,182
CQL-FL,4,2,100.0,183
CQL-FL,4,2,100.0,184
CQL-FL,4,2,100.0,185
CQL-FL,4,2,100.0,186
CQL-FL,4,2,100.0,187
CQL-FL,4,2,100.0,188
CQL-FL,4,2,100.0,189
CQL-FL,4,2,100.0,190
CQL-FL,4,2,100.0,191
CQL-FL,4,2,100.0,192
CQL-FL,4,2,100.0,193
CQL-FL,4,2,100.0,194
CQL-FL,4,2,100.0,195
CQL-FL,4,2,100.0,196
CQL-FL,4,2,100.0,197
CQL-FL,4,2,100.0,198
CQL-FL,4,2,100.0,199
CQL-FL,4,2,100.0,200
CQL-FL,4,2,100.0,201
CQL-FL,4,2,100.0,202
CQL-FL,4,2,100.0,203
CQL-FL,4,2,100.0,204
CQL-FL,4,2,100.0,205
CQL-FL,4,2,100.0,206
CQL-FL,4,2,100.0,207
CQL-FL,4,2,100.0,208
CQL-FL,4,2,100.0,209
CQL-FL,4,2,100.0,210
CQL-FL,4,2,100.0,211
CQL-FL,4,2,100.0,212
CQL-FL,4,2,100.0,213
CQL-FL,4,2,100.0,214
CQL-FL,4,2,100.0,215
CQL-FL,4,2,100.0,216
CQL-FL,4,2,100.0,217
CQL-FL,4,2,100.0,218
CQL-FL,4,2,100.0,219
CQL-FL,4,2,100.0,220
CQL-FL,4,2,100.0,221
CQL-FL,4,2,100.0,222
CQL-FL,4,2,100.0,223
CQL-FL,4,2,100.0,224
CQL-FL,4,2,100.0,225
CQL-FL,4,2,100.0,226
CQL-FL,4,2,100.0,227
CQL-FL,4,2,100.0,228
CQL-FL,4,2,100.0,229
CQL-FL,4,2,100.0,230
CQL-FL,4,2,100.0,231
CQL-FL,4,2,100.0,232
CQL-FL,4,2,100.0,233
CQL-FL,4,2,100.0,234
CQL-FL,4,2,100.0,235
CQL-FL,4,2,100.0,236
CQL-FL,4,2,100.0,237
CQL-FL,4,2,100.0,238
CQL-FL,4,2,100.0,239
CQL-FL,4,2,100.0,240
CQL-FL,4,2,100.0,241
CQL-FL,4,2,100.0,242
CQL-FL,4,2,100.0,243
CQL-FL,4,2,100.0,244
CQL-FL,4,2,100.0,245
CQL-FL,4,2,100.0,246
CQL-FL,4,2,100.0,247
CQL-FL,4,2,100.0,248
CQL-FL,4,2,100.0,249
CQL-FL,4,2,100.0,250
CQL-FL,4,2,100.0,251
